,uuid,screen_name,created_at,followers,location,favorite,retweet,source,text
0,429f2251-72d1-11ed-b8da-5d69ef677c98,chainlinkthulhu,2022-12-03 05:33:17, 635,Saturn, 0, 50, Twitter Web App," RT @chainlink: ⬡ DAILY WRAP-UP ⬡ 

⛓️ Integrations on #BNBChain and #Ethereum ⛓️

• @AtamoAscension | VRF | Randomizing mint rewards
• @Der…"
1,3ef8d6a2-72d1-11ed-b8da-5d69ef677c98,ripple2423,2022-12-03 05:38:30, 89,@Lw0369, 0, 0, Twitter Web App, Shannon #Ethereum Bertina #世界杯 Sunshine #AG捕鱼机 Lauren #世界杯买球  https://t.co/FxY93zV2bN
2,46509192-72d1-11ed-b8da-5d69ef677c98,indigolabsjames,2022-12-03 05:31:17, 1080,NA, 0, 174, Twitter for iPhone," RT @Soorajksaju2: #Ethereum Community often calls themselves #Decentralization maxis

But if we look at the real metrics

#Cardano is far a…"
3,5139b0a4-72d1-11ed-b8da-5d69ef677c98,bigwinswaha,2022-12-03 05:24:20, 60,Bali , 0, 0, Twitter for Android, @GCryptoBen @RichQuack @Shibtoken @LunaGensArmy @NuRiFootBall_ @ethereum @solana @dogecoin @CoinMarketCap $QUACK
4,4291dbe0-72d1-11ed-b8da-5d69ef677c98,ruppiRT0312,2022-12-03 05:35:42, 140,NA, 0, 39, Twitter for iPhone," RT @NFT2rejoice: https://t.co/ZLugsV8kWf

Longing has also its own Memory https://t.co/1NfAyJVTgI"
5,3b680ec1-72d1-11ed-b8da-5d69ef677c98,ArpanTrivedi8,2022-12-03 05:42:37, 13,@Lw0369, 0, 0, Twitter Web App, Mary #Ethereum Salome #世界杯 Hannah #AG捕鱼机 Hadden #世界杯投注  https://t.co/B5Qlhc08Hd
6,429b78d7-72d1-11ed-b8da-5d69ef677c98,VanJ57589891,2022-12-03 05:33:45, 2,Uganda, 0, 52350, Twitter Web App, RT @odosprotocol: 🔥 New Campaign is starting on November 18
7,5138ed54-72d1-11ed-b8da-5d69ef677c98,the_unswerving,2022-12-03 05:24:31, 335,NA, 0, 0, TwinyBots, Friday
8,4de8d7f3-72d1-11ed-b8da-5d69ef677c98,NikaSach,2022-12-03 05:25:40, 1,Ankara, 0, 0, Twitter Web App, Violet #Ethereum Quintessa #世界杯 Interpreter #百家乐 Delightful #世界杯投注  https://t.co/QYgbz1yiDN
9,547e2d52-72d1-11ed-b8da-5d69ef677c98,BoyFictitious,2022-12-03 05:21:34, 674,Fictitious World, 4, 0, Twitter Web App," https://t.co/ofcmiPoTEr

Reserve bid! $ETH 0.03

#NFT #NFTCommunity #NFTartist"
10,3b63c900-72d1-11ed-b8da-5d69ef677c98,AmaliaBazi,2022-12-03 05:43:54, 171,NA, 0, 0, Twitter Web App, 😊My friend @SnowGotMelted ! Yang Metal. As per Chinese astrology he is survival. He is a warrior who has all the ph… https://t.co/tt4nAtFUfV
11,4299cb27-72d1-11ed-b8da-5d69ef677c98,gyanmal_kumawat,2022-12-03 05:34:15, 2,NA, 0, 52350, Twitter Web App, RT @odosprotocol: 🔥 New Campaign is starting on November 18
12,547ea274-72d1-11ed-b8da-5d69ef677c98,justagx4me,2022-12-03 05:21:24, 407,Indonesia, 0, 4880, Twitter for Android," RT @SlingShotOn: Fable of Balrogs (Gothmog) $GOTHMOG #GOTHMOG
@Gothmogerc

https://t.co/A9JZG33RWS
https://t.co/hv9EZsFeL6
Tokennomics
Buy/…"
13,429d2687-72d1-11ed-b8da-5d69ef677c98,Crustia99990432,2022-12-03 05:33:28, 2,NA, 0, 52350, Twitter Web App, RT @odosprotocol: 🔥 New Campaign is starting on November 18
14,51528fd0-72d1-11ed-b8da-5d69ef677c98,MalachieNzemo,2022-12-03 05:22:51, 3,NA, 0, 52351, Twitter Web App, RT @odosprotocol: 🔥 New Campaign is starting on November 18
15,3ef61780-72d1-11ed-b8da-5d69ef677c98,NFTpopArtist,2022-12-03 05:39:02, 18,NA, 1, 0, Twitter Web App, Do you love #molamola Check out my item listing on OpenSea! https://t.co/LVD4T1XDcj via @opensea
16,3efcf556-72d1-11ed-b8da-5d69ef677c98,LivePriceCrypto,2022-12-03 05:36:45, 4075,NA, 1, 0, vaiotapi," #Bitcoin Last Price $17020 #BTC 🚀
Weekly Indicators:
-RSI: 34
-Moving Average(20): 19971
-MA(50): 29435
-MA(200): 2… https://t.co/7P2yVf0rVR"
17,4d9f72e5-72d1-11ed-b8da-5d69ef677c98,SAYCBot,2022-12-03 05:27:01, 359,WorldWide 🌎, 2, 0, Blockchain Twitter Bot," New Smart Ape Yacht Club Official Sale!
Price: 0.02Ξ ($19.39)
SAYC #6990
#SmartApeYC #SAYCFam #NFTCommunity… https://t.co/znucfLQuiN"
18,5480c555-72d1-11ed-b8da-5d69ef677c98,OtherdeedBot,2022-12-03 05:21:06, 1926,NA, 0, 0, OthersideBot," Otherdeed #58191 was purchased for 1.29 ETH 
 https://t.co/SYD5mzCkRp https://t.co/QmFM7T5MAS"
19,38e75751-72d1-11ed-b8da-5d69ef677c98,Erkan84805237,2022-12-03 05:44:24, 7606,NA, 0, 1, Twitter Web App," RT @Erkan84805237: https://t.co/FRAkz8m6DR👈Click the link

#NBA #PrimeDay #shopping #GivingTuesday #deal #BlackFridayWeek #MensHealth #blac…"
20,429d4d91-72d1-11ed-b8da-5d69ef677c98,thierry13994540,2022-12-03 05:33:25, 4,NA, 0, 52350, Twitter Web App, RT @odosprotocol: 🔥 New Campaign is starting on November 18
